"","Hybrid_ID","Nfinal","Phyllochron","Leaf_tip_emerg","First_LiguloChrone","tt_firstligule_sinceapp","c","a","potKernelWt","GNmax","GrainNoMax","Res.Tnight","resp.Ri","GN15cor","SensiRAD","b"
"139","Lo1094_H",16,0.0220277631702982,3.49908946891152,0.0161312279000263,66.8937826058375,4.39581827086541,4.65222795503902,334.13204782953,671.250685918826,5105.4862716054,-437.182346269315,6177.81357774753,8.65815967832746,0.19,-0.700403024931598
"140","Lo1095_H",17,0.0224448408993968,3.45918274079005,0.0135806875599492,38.6605404083146,6.67552784129662,4.76893709815435,398.068123887476,650.4459033103,5346.66532521067,-460.755927112051,5611.10350941502,9.36286218708375,1.36,-0.873205010370284
"142","Lo1106_H",16,0.0222891341283392,3.38765659914502,0.0149578126516282,58.3820809780532,5.20834837983401,4.8367838572667,350.276175824615,673.905009288102,5539.4991763482,-450.618408688427,6279.84322692571,11.0569445392193,0.13,-0.761992807191418
"144","Lo1124_H",16,0.0204812298990034,3.40364274855676,0.0138091556139203,63.8397424074648,4.48133594466841,4.52000406254223,397.009399451225,550.782675200399,4258.57052273766,-329.862723432703,4799.43336133839,8.06593745502804,0.86,-0.706885264605866
"145","Lo1172_H",16,0.0213607119485841,3.64507184720329,0.0142401436884356,36.674443170794,6.32439846307072,5.50614385945751,347.502215612747,623.526923537378,4521.10763107122,-252.170335561857,5000.65164207868,8.75741577241288,0.28,-0.846589403500761
"149","Lo1203_H",16,0.0228605170801802,3.67407776620434,0.0145745840180702,22.0806534085096,2.82509466739377,3.94469028373364,352.508673683997,724.298093691633,5953.73033014522,-439.690081969277,6057.90666034037,11.5780392906249,0.58,-0.581342175788448
"150","Lo1223_H",16,0.021660417587874,3.34148405364544,0.0150249790971708,65.84634115675,6.21767562889029,5.01854460665181,338.647958233027,707.478615421158,5126.70743101505,-313.476956673098,5787.42895208505,11.2819346080061,0.34,-0.838499812669884
"151","Lo1242_H",15,0.0210181041416953,3.319805282141,0.0137825312362031,57.8065925619304,2.60763352684882,3.75448887717131,369.838337622336,666.555754556506,4810.92220755833,-391.143733385834,5685.90431832507,10.1274732337003,1.38,-0.564858621335141
"152","Lo1251_H",16,0.0222021493797325,3.3862963529727,0.0145722452823274,60.4962876294698,6.36566585057206,5.01924860546102,399.825745421754,690.370158881109,5674.84270600272,-477.066813933894,6274.53477037273,11.1512260513266,0.39,-0.849717471473362
"153","Lo1253_H",17,0.0249049975883289,3.48436126150526,0.0151034673125204,41.8351179651386,5.28854064675533,5.20615353424979,417.068900353877,624.175041418915,5073.74647678906,-366.350638856433,5246.43055702097,10.4649498566185,0.61,-0.768071381024054
"154","Lo1261_H",16,0.0237357575670189,3.41402388107461,0.0161312279000263,66.8937826058375,4.21262812219157,4.42284153592503,358.657885858494,646.539015330049,5456.78928938561,-304.899647776307,5538.44030038434,9.57480404864793,0.09,-0.686517211662121
"155","Lo1266_H",17,0.0185806655969788,3.71385650606282,0.0132405883400941,51.2283347541587,5.71903813517545,5.16337810285477,380.455156136616,560.424850743608,4574.89212088867,-273.693125268118,4551.32083145418,7.69856040668404,0.37,-0.800703090646299
"157","Lo1273_H",16,0.0244876028942557,3.28998531256404,0.0154196452067316,45.6364735223281,3.81235462737822,5.09056934688869,398.852812428845,515.026229579531,4115.51232591541,-264.692730281362,4619.55350564202,6.78545879988227,0.04,-0.656176480755269
"158","Lo1274_H",16,0.0218966367130543,3.7574410935958,0.014820105607261,28.4860323050104,5.56723917294106,5.37466298599258,378.572169502162,630.516182678244,4303.96622165832,-404.394100250682,5396.55278392805,10.8413382680371,0.64,-0.789196729308932
"159","Lo1280_H",16,0.0205914523787596,3.34776503144685,0.0132352043561153,53.6940153406191,3.62249987381209,4.17789617671059,402.105812903795,601.641581321271,3920.04974307032,-308.762480124454,4646.49918340718,8.57832394354604,0.4,-0.641785490434956
"160","Lo1282_H",16,0.0211715132841426,3.48485895026573,0.0147573984133492,52.8102964215153,4.21499414664494,4.64434968239384,406.036912418866,654.959864634215,5383.77008729325,-353.352931457999,5045.68246419591,9.9675019987737,0.15,-0.686696556315687
"161","Lo1284_H",16,0.0211116847014127,3.65485582326725,0.0145733324133373,47.8781938166165,3.94877522743716,4.4868457932571,380.780412826324,639.27352740009,4248.48448629759,-368.420933776902,5198.71117065511,9.70726303192962,0.66,-0.666517162239737
"164","Lo1301_H",16,0.0215320044058457,3.4505554065525,0.0140535111353281,58.4048680034488,4.01147646403766,4.38992520833783,327.038656719119,747.714464927731,6146.21290170595,-355.239191243731,5700.42373438342,11.0571836514184,0.83,-0.671269915974055
"166","Lp5_H",16,0.0210514360678465,3.46872937241233,0.0137869481068562,57.6348810568757,6.08038044764624,5.03510012685747,343.713780250434,730.426524744366,5113.03035340363,-382.592564076236,5495.71078201409,8.5261263382362,0.67,-0.828092837931585
"167","ML606_H",16,0.0252197829898389,3.13486975249814,0.0170256172984059,68.638453797129,8.72164155452953,6.09858054290009,393.450039193718,605.324856628121,4453.32235061935,-332.361672899693,5044.86026208693,6.74208611150052,0.37,-1.02830042983334
"170","MS153_H",16,0.0245096147282706,3.36652454571721,0.0157494435129443,55.7883835082225,5.62520822345961,5.54774291120763,380.079567560354,523.17069064449,4300.46307709771,-365.712886043755,4444.78949578976,4.41335642831926,0.02,-0.793590783338239
"171","MS71_H",16,0.0255410773358818,3.05435488762561,0.0159788166395807,70.7658691496268,5.04085563150163,4.67759499593219,363.759393038528,519.192442379189,4357.93297557804,-377.907661055216,4920.24694773805,5.77084581252406,0.19,-0.749296856867824
"172","N16_H",16,0.0209089781419751,2.98840297846376,0.0130698417573655,53.4464193837259,3.83905847886136,3.79881563391049,309.511878044314,574.353367762378,4233.27718801633,-290.976358309741,4689.64877396166,9.28109891569913,0.36,-0.658200632697691
"173","N192_H",16,0.0246820893527768,3.68940756573242,0.0147736690063078,30.9278332935643,3.22523562254163,4.12274778705608,358.208100205717,575.526615706153,4585.63019839097,-320.409011110468,5335.51503842754,8.14269629043827,0.65,-0.611672860188656
"175","N25_H",16,0.0223452367607605,3.40832930886891,0.0145733324133373,47.8781938166165,4.32865521614384,4.37793135956361,366.407059400707,478.289960979886,4036.76727067024,-391.606488159776,4635.65360663907,9.12218290963133,0.73,-0.695312065383703
"176","N6_H",17,0.025661615218364,3.15540355866325,0.0163954197133681,68.6421374051755,5.62139126842805,4.55374726481893,353.807923047757,508.175303489008,4288.99956144723,-238.488450742432,4084.0114287627,7.29690433083706,0.37,-0.793301458146846
"177","NC290_H",17,0.021575981913116,2.98502940279913,0.0139357714274745,60.4455828306099,5.66064920943758,4.75871292185515,383.902668373266,633.810507082086,5209.92236821475,-408.959194333953,4745.94033747197,10.3095743144952,1.19,-0.796277210075368
